,Ano,TituloLivro,GeneroLivro,NomeAutor,GeneroAutor,FaixaEtariaAutor,PaisAutor,NomeEditora,SedeEditora,PaisEdicao,Vencedor,Finalista,Semifinalista
5456,2022,A Rainha Louca,Poesia,Camila Lauar,Feminino,de 20 a 30 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5457,2022,A REBELIÃO DO AMOR,Poesia,Mauri De Noronha,Masculino,de 60 a 70 anos,Brasil,Lavra,Brasil,Brasil,Não,Não,Não
5458,2022,A REBENTAÇÃO DAS ÁGUAS,Poesia,Rui Miguel Fragas,Masculino,de 50 a 60 anos,Portugal,Poética Edições,Portugal,Portugal,Não,Não,Não
5459,2022,A recalcitrância da semente,Romance,Claudio Jose Barbedo,Masculino,de 50 a 60 anos,Brasil,Edições Archangelus,Brasil,Brasil,Não,Não,Não
5460,2022,A região abissal do mar,Romance,Barbara Buzatti,Feminino,de 30 a 40 anos,Brasil,Impressões de Minas,Brasil,Brasil,Não,Não,Não
5461,2022,A ressaca do mar trincou meus ossos,Poesia,Jean Albuquerque,Masculino,de 30 a 40 anos,Brasil,Loitxa Lab,Brasil,Brasil,Não,Não,Não
5462,2022,A Revelação de Ernesto,Romance,J.R. Marinho,Masculino,de 20 a 30 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5463,2022,A Rosa Verde - Sonetos de Esperança,Poesia,Luciano Didimo,Masculino,de 50 a 60 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5464,2022,A rota dos ratos,Romance,Vanessa Molnar,Feminino,de 40 a 50 anos,Brasil,Patuá,Brasil,Brasil,Não,Não,Não
5465,2022,A rua de ontem,Romance,Moacir Calarga,Masculino,de 30 a 40 anos,Brasil,Ópera,Brasil,Brasil,Não,Não,Não
5466,2022,"A Saga dos Igam. Um Romance sobre Imigrantes, Refugiados e Desbravadores.",Romance,Joao Carlos Magi,Masculino,de 60 a 70 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5467,2022,A Sangrada Família,Romance,Sandro William Junqueira,Masculino,de 40 a 50 anos,Portugal,Caminho,Portugal,Portugal,Não,Não,Não
5468,2022,A SINA DE ARUANDA,Romance,Virgilia Ferrao,Feminino,de 30 a 40 anos,Moçambique,Fundação Fernando Leite Couto,Moçambique,Moçambique,Não,Não,Não
5469,2022,A Solidão do Poderoso no Espelho,Dramaturgia,Valdir De Aquino Ximenes,Masculino,de 40 a 50 anos,Brasil,Giostri,Brasil,Brasil,Não,Não,Não
5470,2022,A solidão dos anjos,Conto,Marco Aurelio Cremasco,Masculino,de 50 a 60 anos,Brasil,Confraria do Vento,Brasil,Brasil,Não,Não,Não
5471,2022,A solidão em Dallas,Conto,Josette Lassance,Feminino,de 50 a 60 anos,Brasil,Amo! Editora,Brasil,Brasil,Não,Não,Não
5472,2022,À sombra da cidade,Crônica,Lourdes Gutierres,Feminino,de 70 a 80 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5473,2022,A Sombra da Passarela,Romance,Cassiano Santos Cabral,Masculino,de 50 a 60 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5474,2022,A sombra de Bashô,Poesia,Regina Alonso,Feminino,de 70 a 80 anos,Brasil,Telucazu,Brasil,Brasil,Não,Não,Não
5475,2022,À sombra de uma ilusão,Romance,Pedro Moura,Masculino,de 40 a 50 anos,Reino Unido,Confraria do Vento,Brasil,Brasil,Não,Não,Não
5476,2022,A Suástica em La Cruz,Romance,Leandro Silveira Fleck,Masculino,de 40 a 50 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
5477,2022,A tal rosa,Poesia,Grazi Nervegna,Feminino,de 40 a 50 anos,Brasil,Carpe Librum,Brasil,Brasil,Não,Não,Não
5478,2022,A teoria de Marie Schwramm,Romance,Paulo Wainberg,Masculino,de 70 a 80 anos,Brasil,Bestiário,Brasil,Brasil,Não,Não,Não
5479,2022,A terra O corpo,Poesia,Maraiza Labanca,Feminino,de 30 a 40 anos,Brasil,Cas'a Edições,Brasil,Brasil,Não,Não,Não
5480,2022,A trindade que habita em mim,Poesia,Taina Sena,Feminino,de 20 a 30 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
5481,2022,A última camada,Conto,Renata Barrozo Baglioli,Feminino,de 30 a 40 anos,Brasil,InVerso,Brasil,Brasil,Não,Não,Não
5482,2022,A última princesa andina,Romance,Fabiane Ribeiro,Feminino,de 30 a 40 anos,Chéquia,Autopublicação,,Brasil,Não,Não,Não
5483,2022,A última vez que penso em você neste segundo,Poesia,Leo Cruz,Masculino,de 20 a 30 anos,Brasil,Bestiário,Brasil,Brasil,Não,Não,Não
5484,2022,A valsa extemporânea,Poesia,Lucio Mendes Cavalcante,Masculino,de 40 a 50 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5485,2022,A velha senhora,Romance,Amanda Bertoncini,Feminino,de 30 a 40 anos,Brasil,Feminas,Brasil,Brasil,Não,Não,Não
5486,2022,A Vénus Crioula,Romance,Vera Duarte,Feminino,de 70 a 80 anos,Cabo Verde,Rosa de Porcelana,Cabo Verde,Cabo Verde,Não,Não,Não
5487,2022,A verdade sobre a morte de Félix de Albuquerque,Conto,Lucas Brito,Masculino,de 30 a 40 anos,Brasil,Arkanus,Brasil,Brasil,Não,Não,Não
5488,2022,A vestida,Conto,Eliana Alves Cruz,Feminino,de 50 a 60 anos,Brasil,Malê,Brasil,Brasil,Não,Não,Não
5489,2022,A viagem de Óscar,Romance,Rafael Pires,Masculino,de 20 a 30 anos,Portugal,Gato-Bravo,Portugal,Portugal,Não,Não,Não
5490,2022,A viagem de Ulisses pelo rio Amazonas,Romance,Andre Gardel,Masculino,de 60 a 70 anos,Brasil,7Letras,Brasil,Brasil,Não,Não,Não
5491,2022,A VIDA É MESMO AGORA,Poesia,Alexandre Fonseca,Masculino,de 30 a 40 anos,Brasil,Avá,Brasil,Brasil,Não,Não,Não
5492,2022,A vida é para ser vivida,Romance,Sophie Wogt,Feminino,de 30 a 40 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5493,2022,A VIDA EM POESIA,Poesia,Diogo Lourenco,Masculino,de 30 a 40 anos,Portugal,Heteronimus,Portugal,Portugal,Não,Não,Não
5494,2022,A vida em primeira pessoa,Romance,Thais De Mendonca,Feminino,de 40 a 50 anos,Brasil,Desconcertos,Brasil,Brasil,Não,Não,Não
5495,2022,A vida incompleta,Romance,Eduardo Von Sperling,Masculino,de 70 a 80 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
5496,2022,A vida na Grécia,Romance,Marcos Bagno,Masculino,de 60 a 70 anos,Brasil,Parábola,Brasil,Brasil,Não,Não,Não
5497,2022,A Violeta de Vênus,Poesia,Mishal Katz,Prefiro não informar,de 30 a 40 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5498,2022,A volta do bumerangue,Conto,Lula Arraes,Masculino,de 60 a 70 anos,Brasil,Confraria do Vento,Brasil,Brasil,Não,Não,Não
5499,2022,A-mar: poemas e prosas sobre o sentir,Poesia,Mariana Madelinn,Feminino,de 20 a 30 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5500,2022,A.E.I.O.U.P.,Conto,Giorgio Cappelli,Masculino,de 50 a 60 anos,Brasil,Marco Editorial,Brasil,Brasil,Não,Não,Não
5501,2022,AAAAAAAAA,Romance,Osvaldo Matsuda,Masculino,de 60 a 70 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5502,2022,Abaixo da luz do sol,Poesia,Jazz Orimaua,Prefiro não informar,de 20 a 30 anos,Brasil,Impressões de Minas,Brasil,Brasil,Não,Não,Não
5503,2022,"Abalroando, a Fúria Esperará dos Vingadores",Poesia,Miguel Meruje,Masculino,de 30 a 40 anos,Portugal,Glaciar,Portugal,Portugal,Não,Não,Não
5504,2022,ABDUZIDO - Contos de outro mundo,Conto,Nelia Nascimento,Feminino,de 60 a 70 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5505,2022,ABIOTO SERTANEJO,Poesia,Joao Pablo Trabuco,Masculino,de 20 a 30 anos,Brasil,Caravana,Brasil,Brasil,Não,Não,Não
5506,2022,abolição via vargas,Romance,Carlos H Carneiro,Masculino,de 50 a 60 anos,Brasil,Autopublicação,,Brasil,Não,Não,Não
5507,2022,Abra e leia,Conto,Milton Ribeiro,Masculino,de 60 a 70 anos,Brasil,Zouk,Brasil,Brasil,Não,Não,Não
5508,2022,Abrir e fechar cancelas,Poesia,Luiza Oliveira,Feminino,de 20 a 30 anos,Brasil,7Letras,Brasil,Brasil,Não,Não,Não
5509,2022,ACASO E DESTINO,Romance,Luiz Maria Lima,Masculino,de 60 a 70 anos,Brasil,Via Escrita,Brasil,Brasil,Não,Não,Não
5510,2022,Acidente geográfico,Poesia,Muriel Assumpcao,Feminino,de 30 a 40 anos,Brasil,Urutau,Brasil,Brasil,Não,Não,Não
5511,2022,Acontece no corpo,Poesia,Daniela Athuil,Feminino,de 40 a 50 anos,Brasil,Laranja Original,Brasil,Brasil,Não,Não,Não
5512,2022,Acontessências,Poesia,Ligia Carvalho Libaneo,Feminino,de 30 a 40 anos,Brasil,Avá,Brasil,Brasil,Não,Não,Não
5513,2022,açúcar,Poesia,Priscila Branco,Feminino,de 30 a 40 anos,Brasil,Macabéa,Brasil,Brasil,Não,Não,Não
5514,2022,Acuri,Romance,Claudio Nascimento,Masculino,de 40 a 50 anos,Brasil,Penalux,Brasil,Brasil,Não,Não,Não
5515,2022,Adão e horas,Poesia,Ismar Tirelli Neto,Masculino,de 30 a 40 anos,Brasil,7Letras,Brasil,Brasil,Não,Não,Não
